A,B
58,5
1576,7
48,5
1909,7
307,5
1879,7
171,5
455,5
1367,7
1650,7
649,5
101,5
445,5
93,5
233,5
1401,7
701,5
1810,7
241,5
71,5
633,5
37,5
1106,7
1989,7
1947,7
642,5
325,5
1411,7
1458,7
1217,7
337,5
1124,7
1883,7
1346,7
710,5
1809,7
347,5
1553,7
1961,7
77,5
1292,7
1773,7
420,5
148,5
1086,7
16,5
848,5
1848,7
786,5
451,5
1230,7
340,5
605,5
1849,7
130,5
917,5
1148,7
1925,7
1020,7
680,5
1442,7
391,5
854,5
1468,7
763,5
1304,7
45,5
421,5
795,5
1021,7
1381,7
1291,7
1431,7
1552,7
1687,7
330,5
1758,7
387,5
1289,7
1146,7
869,5
1645,7
354,5
496,5
552,5
1995,7
1005,7
1342,7
676,5
594,5
960,5
1057,7
1768,7
290,5
3,5
887,5
520,5
1018,7
349,5
425,5
809,5
910,5
283,5
72,5
1597,7
1730,7
521,5
1536,7
196,5
1096,7
1953,7
1326,7
468,5
250,5
484,5
1690,7
1042,7
280,5
723,5
1884,7
299,5
734,5
1560,7
158,5
1052,7
1076,7
1639,7
1157,7
1603,7
1382,7
1007,7
96,5
418,5
1133,7
1715,7
565,5
1527,7
163,5
1137,7
1593,7
1731,7
624,5
646,5
30,5
1613,7
497,5
716,5
1263,7
295,5
135,5
1294,7
1316,7
1412,7
1189,7
1663,7
1232,7
1016,7
1319,7
951,5
1192,7
371,5
1894,7
193,5
1785,7
1270,7
1282,7
556,5
1802,7
674,5
1774,7
1353,7
527,5
886,5
414,5
792,5
1816,7
332,5
1077,7
1604,7
1409,7
1913,7
38,5
1997,7
1911,7
945,5
411,5
1959,7
990,5
1725,7
711,5
422,5
1638,7
1601,7
1046,7
108,5
1351,7
329,5
342,5
1578,7
1379,7
949,5
982,5
504,5
1689,7
651,5
1199,7
600,5
186,5
285,5
1779,7
453,5
668,5
532,5
1349,7
180,5
775,5
1822,7
1717,7
1797,7
1533,7
1681,7
1144,7
1454,7
22,5
1803,7
590,5
882,5
857,5
691,5
1194,7
1080,7
27,5
257,5
619,5
1502,7
753,5
443,5
911,5
1266,7
613,5
1986,7
1325,7
1852,7
1886,7
513,5
279,5
966,5
413,5
1238,7
312,5
706,5
480,5
1271,7
1541,7
296,5
944,5
1073,7
1465,7
767,5
610,5
315,5
812,5
170,5
1983,7
1490,7
1706,7
847,5
273,5
931,5
153,5
1772,7
231,5
1851,7
1610,7
1862,7
203,5
1680,7
824,5
1109,7
604,5
641,5
1572,7
1524,7
1698,7
1888,7
240,5
704,5
73,5
1830,7
1753,7
591,5
475,5
67,5
597,5
963,5
1049,7
1389,7
6,5
321,5
154,5
356,5
492,5
322,5
167,5
1612,7
1867,7
426,5
204,5
124,5
1447,7
879,5
609,5
2001,2002
923,5
1264,7
463,5
853,5
243,5
1459,7
175,5
1460,7
1671,7
311,5
110,5
152,5
1008,7
821,5
134,5
234,5
979,5
518,5
106,5
378,5
1719,7
903,5
981,5
962,5
583,5
1169,7
1796,7
1306,7
1203,7
599,5
112,5
1921,7
562,5
260,5
29,5
1543,7
1463,7
740,5
466,5
607,5
398,5
206,5
580,5
1075,7
1993,7
992,5
444,5
1596,7
380,5
1098,7
245,5
1871,7
395,5
1335,7
473,5
1514,7
1115,7
555,5
1800,7
1378,7
1275,7
872,5
1945,7
1435,7
1202,7
1583,7
628,5
499,5
1245,7
454,5
603,5
191,5
36,5
918,5
1006,7
976,5
493,5
1515,7
1864,7
495,5
1759,7
392,5
1059,7
21,5
566,5
573,5
698,5
530,5
727,5
435,5
999,5
1231,7
666,5
1332,7
59,5
1246,7
1421,7
1315,7
1330,7
924,5
1456,7
178,5
503,5
661,5
550,5
1250,7
1846,7
991,5
1257,7
554,5
1069,7
1675,7
892,5
1964,7
942,5
1841,7
888,5
217,5
1004,7
1923,7
26,5
699,5
1962,7
1755,7
1904,7
1234,7
1092,7
712,5
85,5
1160,7
1726,7
618,5
209,5
1693,7
156,5
407,5
813,5
769,5
1265,7
1734,7
53,5
1877,7
1455,7
638,5
336,5
1201,7
344,5
756,5
525,5
1364,7
447,5
1944,7
1858,7
1395,7
259,5
1878,7
1280,7
42,5
1713,7
1511,7
64,5
83,5
1551,7
460,5
1448,7
107,5
1931,7
1770,7
1452,7
1586,7
517,5
864,5
1910,7
1228,7
692,5
670,5
1631,7
1741,7
671,5
1677,7
533,5
1321,7
373,5
946,5
278,5
1845,7
172,5
1240,7
1156,7
1213,7
807,5
56,5
1892,7
1484,7
958,5
1746,7
829,5
689,5
797,5
60,5
1643,7
893,5
559,5
1840,7
1000,5
1716,7
1236,7
1119,7
1405,7
1585,7
799,5
1787,7
721,5
13,5
1692,7
780,5
1180,7
41,5
1632,7
798,5
861,5
424,5
128,5
852,5
955,5
1112,7
678,5
835,5
850,5
1723,7
1700,7
313,5
785,5
474,5
309,5
1844,7
166,5
1107,7
655,5
688,5
557,5
481,5
586,5
159,5
901,5
563,5
490,5
1284,7
993,5
1068,7
568,5
507,5
531,5
922,5
973,5
326,5
914,5
1404,7
874,5
1034,7
1255,7
907,5
650,5
1220,7
1145,7
1626,7
1915,7
274,5
935,5
249,5
511,5
1142,7
1609,7
952,5
1061,7
361,5
449,5
871,5
219,5
12,5
303,5
500,5
1433,7
1013,7
787,5
399,5
1179,7
1290,7
849,5
933,5
150,5
1252,7
1748,7
1890,7
95,5
1464,7
302,5
1782,7
1786,7
636,5
1776,7
1648,7
687,5
1587,7
1297,7
1056,7
582,5
174,5
1685,7
348,5
970,5
1047,7
1641,7
906,5
1501,7
953,5
660,5
1341,7
1743,7
1188,7
1485,7
1478,7
588,5
623,5
1,5
1123,7
832,5
617,5
1166,7
1261,7
357,5
1637,7
1362,7
862,5
1666,7
261,5
1537,7
606,5
1756,7
669,5
837,5
1475,7
634,5
1039,7
616,5
1937,7
1535,7
1418,7
1277,7
1707,7
1361,7
144,5
884,5
746,5
404,5
1374,7
1103,7
1065,7
4,5
1417,7
1508,7
522,5
1665,7
1695,7
1823,7
1428,7
1048,7
1242,7
894,5
1611,7
708,5
890,5
1825,7
223,5
79,5
1554,7
1190,7
1792,7
1579,7
1531,7
57,5
679,5
1664,7
1392,7
819,5
1838,7
1314,7
720,5
572,5
1922,7
1659,7
673,5
817,5
396,5
1749,7
49,5
457,5
1919,7
626,5
717,5
943,5
409,5
456,5
964,5
80,5
784,5
222,5
1972,7
1960,7
1808,7
509,5
1577,7
844,5
681,5
368,5
51,5
845,5
363,5
333,5
1646,7
317,5
1272,7
1644,7
1147,7
725,5
211,5
1366,7
1657,7
1811,7
431,5
733,5
1588,7
747,5
632,5
86,5
262,5
881,5
304,5
1132,7
1193,7
1549,7
74,5
1118,7
306,5
1416,7
1656,7
1769,7
1563,7
1149,7
876,5
1446,7
1130,7
905,5
1778,7
537,5
1305,7
268,5
684,5
8,5
91,5
567,5
1682,7
1300,7
1950,7
105,5
1818,7
1771,7
1036,7
541,5
1299,7
1408,7
417,5
703,5
1470,7
432,5
1239,7
578,5
558,5
1955,7
1817,7
1521,7
220,5
237,5
1943,7
276,5
213,5
1359,7
614,5
1136,7
1368,7
17,5
1819,7
1340,7
1253,7
620,5
1441,7
1113,7
1729,7
1801,7
584,5
757,5
501,5
1599,7
715,5
272,5
1573,7
1037,7
437,5
1102,7
151,5
205,5
1154,7
1273,7
939,5
20,5
149,5
1540,7
1580,7
937,5
615,5
1322,7
1732,7
269,5
1859,7
1634,7
489,5
644,5
1974,7
1372,7
419,5
535,5
648,5
1071,7
1158,7
1843,7
1347,7
859,5
168,5
1269,7
82,5
1218,7
1186,7
505,5
1167,7
246,5
827,5
482,5
1383,7
140,5
1219,7
141,5
381,5
165,5
1041,7
117,5
323,5
1088,7
1030,7
977,5
1197,7
103,5
118,5
643,5
1532,7
1673,7
1111,7
1507,7
1187,7
120,5
446,5
608,5
389,5
318,5
997,5
1472,7
1356,7
1139,7
1605,7
1497,7
1427,7
1742,7
585,5
932,5
1608,7
1606,7
544,5
800,5
5,5
777,5
338,5
1711,7
1870,7
438,5
986,5
1701,7
833,5
341,5
485,5
1544,7
1982,7
31,5
1108,7
1336,7
104,5
201,5
1128,7
908,5
155,5
512,5
948,5
1703,7
376,5
1826,7
288,5
919,5
1938,7
1688,7
393,5
510,5
224,5
1640,7
695,5
1492,7
825,5
125,5
202,5
1324,7
1339,7
1380,7
111,5
1891,7
957,5
842,5
868,5
726,5
883,5
1350,7
1948,7
194,5
390,5
834,5
1654,7
1694,7
1607,7
498,5
969,5
1181,7
1170,7
1482,7
271,5
1740,7
439,5
995,5
1371,7
571,5
488,5
1053,7
1714,7
677,5
65,5
139,5
469,5
121,5
1293,7
1450,7
146,5
15,5
1969,7
1206,7
472,5
1135,7
1205,7
44,5
693,5
132,5
461,5
508,5
248,5
925,5
1060,7
898,5
765,5
1973,7
1376,7
1842,7
639,5
1461,7
412,5
1413,7
1940,7
1547,7
1777,7
434,5
867,5
1243,7
1081,7
1854,7
339,5
1126,7
974,5
1352,7
263,5
258,5
1569,7
1091,7
1558,7
142,5
1672,7
996,5
1499,7
176,5
1934,7
1866,7
494,5
119,5
491,5
630,5
1942,7
1704,7
744,5
230,5
40,5
1001,7
664,5
1227,7
2,5
1087,7
1595,7
1105,7
331,5
1562,7
766,5
1831,7
1975,7
1895,7
1791,7
1309,7
1724,7
612,5
1281,7
1783,7
218,5
1040,7
366,5
1561,7
1026,7
540,5
1474,7
1794,7
1479,7
7,5
930,5
324,5
891,5
602,5
2000,7
1957,7
1313,7
1575,7
1900,7
1538,7
1100,7
1397,7
235,5
1477,7
1827,7
24,5
1763,7
1134,7
515,5
1084,7
959,5
1221,7
782,5
789,5
131,5
1222,7
1985,7
1394,7
1623,7
328,5
1286,7
314,5
225,5
1764,7
97,5
1548,7
187,5
1011,7
1044,7
284,5
1882,7
742,5
818,5
1196,7
1839,7
878,5
1198,7
1530,7
539,5
1104,7
1976,7
1526,7
506,5
1994,7
543,5
293,5
940,5
1317,7
1812,7
811,5
1023,7
1343,7
436,5
645,5
1471,7
1795,7
1162,7
433,5
136,5
549,5
822,5
647,5
1649,7
1984,7
1684,7
470,5
115,5
1590,7
1574,7
1727,7
665,5
1403,7
450,5
1141,7
1410,7
1311,7
553,5
778,5
947,5
335,5
1996,7
1494,7
1094,7
351,5
1301,7
1248,7
147,5
1328,7
1400,7
1438,7
547,5
1373,7
430,5
728,5
759,5
334,5
748,5
1709,7
1302,7
929,5
1956,7
1949,7
207,5
1775,7
1980,7
1752,7
164,5
593,5
1584,7
467,5
1355,7
94,5
143,5
1443,7
394,5
1183,7
741,5
1765,7
1814,7
1267,7
1288,7
1699,7
601,5
1131,7
162,5
776,5
1889,7
256,5
1099,7
941,5
1495,7
89,5
1653,7
542,5
1237,7
705,5
1736,7
736,5
199,5
779,5
190,5
1992,7
690,5
1564,7
441,5
319,5
1966,7
697,5
866,5
1430,7
327,5
1651,7
1555,7
14,5
1781,7
1658,7
570,5
1207,7
920,5
452,5
860,5
1988,7
1437,7
1331,7
1467,7
408,5
1150,7
55,5
1233,7
1035,7
477,5
448,5
192,5
62,5
66,5
865,5
1210,7
179,5
1117,7
1828,7
1517,7
1386,7
210,5
1509,7
286,5
458,5
502,5
564,5
1519,7
52,5
229,5
1310,7
