C,D
2985,831
2785,1306
2991,1533
2292,2451
2993,1458
2842,745
2573,2641
2179,2000
2197,74
2024,2826
2961,635
2640,2702
2666,2206
2415,2706
2987,202
2660,2154
2681,2651
2506,576
2598,2718
2285,2181
2848,174
2875,352
2889,2599
2176,1347
2579,583
2425,2262
2835,1854
2855,1385
2726,1574
2905,1863
2369,2424
2841,851
2124,322
2678,2833
2212,2203
2229,1519
2303,1393
2108,1705
2261,1257
2075,2225
2557,1435
2438,2669
2431,817
2421,2103
2040,370
2548,2458
2021,936
2724,1289
2633,2701
2604,505
2307,1693
2922,539
2503,1612
2616,160
2746,1019
2011,173
2434,1206
2406,2033
2788,700
2625,819
2415,377
2141,646
2820,2521
2957,1122
2139,1404
2755,2148
2729,1096
2807,2070
2646,2827
2033,1942
2945,1370
2925,2472
2973,2947
2458,1994
2340,329
2239,258
2469,2585
2415,556
2320,181
2008,1231
2617,35
2322,1745
2896,1386
2631,2305
2094,646
2610,2197
2910,1011
2809,903
2671,81
2273,859
2878,1290
2661,947
2892,929
2570,1771
2621,2896
2008,2056
2230,2727
2822,2256
2093,461
2303,83
2194,1314
2753,90
2704,2190
2612,67
2850,52
2481,399
2328,1807
2096,1359
2175,1433
2556,2802
2926,2767
2255,2169
2237,1294
2813,1977
2100,1843
2692,148
2765,2677
2768,2822
2032,1568
2666,1300
2153,2438
2258,2844
2410,2056
2310,2485
2701,2038
2524,2113
2763,1030
2124,1546
2327,1991
2913,1779
2258,162
2555,1087
2663,366
2998,536
2272,533
2014,2762
2528,2636
2792,1846
2209,1023
2753,760
2083,2819
2428,2478
2987,712
2702,2896
2618,897
2447,362
2928,2631
2389,1579
2386,2623
2280,1580
2106,31
2846,781
2459,2865
2238,2816
2395,1642
2382,1852
2515,1130
2137,2910
2365,2561
2217,1555
2834,2355
2720,628
2221,767
2303,522
2899,2287
2903,1696
2701,1748
2145,1828
2463,1345
2209,2542
2615,2309
2178,1129
2500,1356
2469,1397
2283,1147
2186,332
2257,136
2825,2854
2801,2148
2926,2926
2495,1417
2083,1730
2840,2141
2442,595
2876,133
2785,985
2463,2582
2796,2614
2170,2488
2486,40
2293,2504
2618,1304
2341,1478
2042,2657
2577,848
2589,2427
2534,1877
2794,1172
2728,30
2702,1720
2799,437
2322,2262
2251,164
2841,1079
2937,380
2037,1166
2983,1755
2706,1294
2903,2979
2505,1941
2465,547
2175,505
2900,2311
2841,391
2821,2341
2951,1800
2206,1094
2581,2702
2501,1363
2581,427
2495,262
2359,907
2208,439
2257,669
2772,1525
2906,77
2833,254
2678,1112
2312,1815
2003,485
2297,2566
2407,2401
2298,453
2633,1812
2216,691
2824,2103
2878,1561
2864,680
2735,2692
2399,1108
2008,2218
2950,1041
2664,296
2744,947
2476,1086
2538,341
2011,470
2096,2337
2576,2524
2865,2014
2163,1484
2126,2846
2636,2528
2500,1975
2532,554
2202,769
2815,2387
2819,1200
2636,1492
2657,2620
2787,2539
2202,598
2744,2778
2068,188
2405,2201
2135,812
2954,779
2176,1538
2853,2143
2810,1562
2333,423
2354,82
2617,585
2484,552
2163,356
2749,1828
2333,1847
2420,1484
2166,552
2182,969
2578,772
2689,2685
2153,374
2217,684
2170,1653
2648,128
2289,128
2800,2096
2687,2024
2475,1825
2633,1457
2660,643
2289,867
2111,539
2107,1572
2986,1279
2083,2495
2548,1269
2443,2678
2051,2826
2854,1079
2311,2774
2602,2259
2341,2295
2538,1384
2503,2818
2408,2395
2242,410
2363,1414
2426,1353
2264,1231
2182,1727
2892,678
2712,2514
2288,1630
2516,1318
2394,221
2286,2539
2352,1677
2066,1072
2042,630
2230,1258
2387,913
2920,1526
2700,1315
2091,301
2474,682
2585,713
2321,529
2779,2116
2789,2417
2219,47
2572,2184
2825,966
2646,2100
2071,1436
2094,618
2717,2738
2890,2789
2820,2324
2525,2945
2751,1610
2640,200
2750,2361
2705,1945
2120,1708
2365,1332
2912,797
2073,793
2177,292
2796,172
2103,2829
2165,734
2425,2149
2967,2886
2279,580
2104,879
2901,1586
2823,2227
2525,2279
2900,974
2233,2484
2634,1112
2478,1079
2563,1531
2319,1341
2688,232
2053,409
2674,563
2441,1653
2456,2348
2535,280
2384,2886
2972,2326
2052,668
2545,635
2432,1277
2343,1913
2261,1972
2037,2057
2229,1456
2334,1875
2704,932
2025,2366
2063,1164
2044,1308
2284,2788
2418,2074
2565,1467
2634,637
2303,2712
2452,1631
2435,321
2971,2785
2639,2481
2971,2799
2857,1343
2293,2538
2851,924
2384,2876
2162,220
2425,686
2827,2612
2489,2341
2586,2481
2573,1704
2610,2685
2588,626
2511,814
2187,2749
2399,1924
2444,1187
2014,2886
2194,1810
2061,20
2936,1373
2843,1162
2745,2379
2414,963
2222,1042
2757,850
2923,233
2052,2774
2407,2104
2820,137
2622,395
2252,2242
2169,1060
2843,1536
2190,95
2246,1314
2484,2004
2699,2842
2608,1303
2375,1641
2934,851
2376,1608
2935,542
2256,1177
2644,1887
2435,1543
2070,1027
2539,2628
2533,2143
2052,2192
2010,954
2295,2800
2588,2303
2561,2144
2205,1888
2777,2176
2618,2868
2558,24
2790,997
2596,413
2091,1590
2207,859
2304,2598
2709,1209
2862,1473
2398,2924
2520,2253
2446,2814
2584,2524
2764,1371
2437,549
2695,2541
2427,433
2003,2876
2107,2133
2718,1827
2767,2405
2603,2677
2453,184
2112,1698
2183,1326
2388,1468
2525,2714
2557,540
2672,1989
2188,560
2563,2034
2181,2009
2108,1076
2042,2345
2948,2351
2225,463
2159,2873
2794,1315
2563,1636
2459,47
2704,2582
2353,1499
2946,2755
2358,1424
2530,1663
2407,161
2215,1937
2290,1103
2206,2993
2208,2570
2031,1929
2719,1441
2270,349
2311,1322
2106,2524
2104,1016
2204,2646
2686,847
2756,2883
2899,2228
2090,2036
2786,2616
2314,2148
2183,2986
2573,289
2900,2177
2163,1121
2169,246
2304,2044
2952,47
2787,2393
2997,934
2187,1204
2485,2679
2376,1689
2624,2022
2421,1810
2786,2259
2450,2290
2737,507
2089,2737
2629,946
2351,1455
2744,2290
2546,361
2330,822
2591,1591
2691,1401
2884,1135
2585,1875
2941,891
2847,373
2910,2475
2464,302
2759,2302
2072,370
2558,2200
2550,77
2830,1102
2454,1262
2105,1379
2575,2106
2843,2937
2366,2641
2027,1561
2364,532
2745,2291
2705,2435
2571,1628
2199,1174
2303,2224
2391,180
2313,2887
2628,655
2111,2289
2653,364
2240,2903
2219,151
2176,899
2677,534
2586,2629
2522,1641
2715,2472
2090,1747
2576,2919
2598,2338
2676,2208
2942,1477
2628,119
2419,1590
2791,1815
2404,1694
2475,1696
2195,1687
2024,762
2902,2330
2262,1955
2053,689
2155,1339
2272,1902
2357,1613
2843,2904
2257,2840
2061,1933
2458,183
2412,1640
2815,2902
2374,2057
2685,397
2227,1078
2259,2871
2307,1192
2914,2207
2076,2061
2616,27
2887,1263
2867,1523
2828,2843
2155,2119
2123,2191
2533,2204
2392,2171
2920,2780
2728,130
2515,2091
2307,772
2696,1795
2383,1404
2807,1462
2537,437
2815,1032
2841,278
2510,2129
2658,1577
2264,443
2664,923
2276,381
2730,2268
2400,2792
2283,2453
2752,1359
2681,2771
2468,1272
2613,948
2994,682
2703,1359
2492,1963
2667,1532
2370,2773
2599,2901
2187,482
2489,1225
2587,778
2324,2017
2424,771
2800,230
2935,2118
2272,1569
2089,2146
2723,127
2934,2979
2858,1592
2567,1336
2786,1764
2591,2662
2517,2412
2986,1685
2489,2580
2751,1790
2306,973
2088,2683
2037,2516
2226,121
2672,366
2834,716
2660,1551
2439,427
2534,2443
2732,2748
2755,2999
2611,479
2271,1802
2657,2025
2655,1196
2200,470
2891,1179
2146,1357
2033,1657
2910,214
2475,418
2920,2404
2496,2083
2054,1719
2196,2322
2597,2830
2210,2217
2484,2459
2382,1068
2513,551
2205,1477
2021,1199
2421,1210
2028,1472
2017,686
2106,847
2416,1774
2835,410
2130,2930
2011,567
2085,1940
2885,2804
2672,1288
2770,660
2231,2744
2021,624
2801,1488
2339,2159
2754,2105
2728,408
2200,1354
2223,2151
2827,2858
2551,440
2370,980
2108,1587
2612,635
2646,874
2241,176
2038,2283
2065,911
2048,1368
2672,2
2020,1421
2714,2976
2654,77
2985,120
2184,129
2130,1999
2972,394
2011,1234
2406,1661
2358,1779
2742,1330
2541,179
2110,188
2971,352
2392,1619
2618,2939
2868,2477
2868,2156
2997,868
2393,222
2496,2331
2317,1230
2966,2713
2981,2807
2460,1627
2216,2507
2394,20
2731,2906
2308,38
2172,739
2139,1904
2492,1944
2291,467
2436,426
2254,993
2874,223
2428,494
2360,2413
2685,2368
2268,1479
2890,1532
2078,2241
2296,2839
2186,107
2036,2456
2514,1876
2329,2789
2018,829
2039,1882
2196,2147
2016,1407
2666,684
2346,1133
2973,1148
2576,2660
2497,1470
2715,130
2469,208
2844,1131
2577,2326
2702,443
2648,594
2082,1618
2807,158
2088,2386
2980,2547
2445,2711
2078,2014
2099,262
2414,590
2897,162
2915,2511
2484,94
2506,1552
2601,1039
2598,411
2976,429
2137,445
2123,2038
2394,563
2886,1951
2229,880
2351,1610
2913,2083
2017,2022
2723,581
2470,494
2472,1033
2277,1931
2531,1661
2447,2145
2215,2366
2708,1959
2506,2515
2759,2204
2518,1383
2421,439
2611,2631
2423,497
2556,1504
2544,1465
2660,1128
2564,1
2866,1862
2624,1559
2078,766
2315,2841
2692,2187
2370,1854
2159,780
2209,838
2409,566
2856,1079
2024,999
2825,573
2206,2808
2564,1166
2682,193
2267,2153
2130,2981
2568,1773
2190,2043
2498,2446
2269,717
2312,44
2240,1298
2148,403
2960,1324
2126,2928
2040,1886
2932,1423
2172,1058
2689,365
2105,1357
2910,1823
2630,2688
2850,1964
2630,2856
2678,944
2519,1923
2384,639
2392,322
2955,2123
2333,2493
2424,2594
2277,2986
2232,667
2193,2227
2173,2967
2436,863
2830,2186
2302,895
2676,274
2612,2420
2784,2094
2274,2186
2328,2446
2906,874
2335,1482
2777,1392
2633,1036
2453,189
2593,2141
2954,855
2430,430
2442,2974
2535,448
2786,953
2407,2968
2308,1066
2657,1382
2806,908
2732,911
2377,2913
2287,2280
2428,731
2532,1480
2752,2145
2530,2195
2322,1009
2496,733
2594,2230
2826,2458
2681,1462
2448,1134
2403,734
2466,3
2972,917
2389,1497
2027,733
2102,809
2642,1056
2734,2646
2839,1242
2966,382
2944,1101
2566,1068
2806,2042
2027,1977
2256,2335
2218,1668
2024,265
2875,281
2748,1376
2126,49
2407,1358
2155,608
2764,2252
2317,1268
2415,1689
2652,508
2367,526
2889,2528
2794,2562
2739,1282
2901,1783
2955,732
2309,697
2308,2315
2901,2948
2610,2495
2198,1025
2040,2187
2578,1981
2894,357
2217,2746
2280,1696
2887,2808
2350,1981
2939,2837
2959,1116
2066,2399
2739,1294
2159,2512
2203,1079
2534,1106
2559,1986
2725,1841
2340,1140
2920,2919
2430,2194
2952,1322
2327,278
2895,1088
2421,2626
2464,1263
2883,1495
2266,277
2091,1982
2545,1946
2753,2821
2838,914
2907,1248
2578,414
2464,1872
2982,46
2570,1982
2535,1845
2841,713
2186,2341
2212,779
2398,1707
2081,885
2834,2384
2262,2503
2256,646
2680,2704
2540,1734
2851,2596
2622,1319
2511,2043
2063,245
2322,2599
2601,1205
2043,897
2271,972
2408,422
2934,1060
2654,1248
2284,1637
2722,2136
2031,712
2796,1608
2069,1275
2554,2314
2989,851
2091,2990
2010,2818
2651,2590
2625,1297
2431,2871
2944,360
2880,2852
2885,566
2315,685
2949,2990
2605,719
2059,1092
2531,2512
2441,940
2517,2223
2528,338
2941,648
2797,1762
2572,1056
2339,1840
2826,1797
2064,1586
2988,2481
2329,688
2588,2444
2049,2594
2657,1332
2581,2318
2123,755
2213,700
2079,2272
2299,2813
2155,766
2370,2296
2050,1632
2152,493
2848,613
2784,62
2473,1293
2074,54
2643,2189
2943,2268
2386,416
2747,173
2838,1563
2576,2652
2719,562
2786,2700
2455,1545
2245,2093
2639,2990
2891,1126
2594,1660
2341,857
2881,574
2309,1028
2462,1212
2933,2480
2503,361
2887,919
2945,2505
2850,2879
2704,1404
2094,1168
2884,113
2706,1969
2255,1164
2805,436
2873,2249
2806,1994
2227,559
2321,1362
2602,821
2920,673
2056,1905
2688,2618
2654,1866
2489,1286
2355,2755
2354,2218
2391,2083
2064,1479
2318,2821
2044,21
2380,765
2408,835
2949,433
2707,35
2891,687
2935,2596
2204,1999
2053,2077
2535,2555
2898,2885
2452,679
2852,1683
2989,793
2586,2117
2747,2711
2035,746
2393,2922
2183,1950
2650,1121
2641,2927
2645,2284
2466,2418
2020,1543
2967,2733
2255,138
2343,1399
2740,260
