B,C
5,435
7,1705
7,1529
5,746
7,1932
7,1658
7,1881
5,272
5,36
5,74
7,1717
7,1283
5,999
7,1827
7,1419
5,161
5,686
5,591
7,1035
5,945
5,604
5,37
5,317
7,1798
5,894
7,1072
7,1225
5,310
5,953
7,1431
7,1715
7,1787
5,304
5,724
5,40
7,1757
7,1891
5,372
7,1407
7,1801
7,1935
5,909
5,157
7,1668
7,1312
7,1446
5,598
5,538
5,43
7,1995
7,1027
7,1926
5,506
5,82
5,630
7,1416
5,836
7,1358
5,404
5,1
5,827
5,478
5,850
7,1817
5,9
7,1880
5,552
5,51
5,735
5,25
7,1450
5,908
5,703
5,948
7,1800
5,782
7,1498
7,1564
7,1069
5,517
7,1198
7,1708
7,1904
7,1794
7,1330
5,204
7,1308
7,1177
7,1980
5,358
5,727
5,326
7,1812
7,1859
5,2
5,298
7,1237
5,599
7,1781
7,1684
5,356
7,1070
7,1474
5,420
7,1141
5,888
7,1958
7,1437
7,1210
5,193
7,1288
5,711
2002,8
5,458
5,533
5,73
7,1587
5,997
5,347
7,1126
5,664
7,1268
7,1362
7,1324
7,1483
5,68
7,1291
5,575
5,336
7,1771
5,539
5,651
5,699
5,470
7,1620
5,49
7,1189
5,348
7,1514
5,137
7,1521
5,149
7,1208
5,558
5,166
7,1103
5,521
7,1748
7,1112
7,1631
5,617
5,292
7,1718
7,1910
5,438
7,1045
7,1877
7,1388
7,1810
5,795
7,1464
5,696
7,1373
7,1047
7,1749
5,648
7,1753
5,353
5,302
5,378
5,516
5,626
7,1339
5,917
7,1491
7,1007
5,444
7,1915
7,1200
7,1585
7,1275
5,669
7,1712
7,1954
7,1951
5,844
7,1972
7,1229
7,1721
7,1457
7,1517
7,1530
5,53
7,1591
7,1911
7,1258
7,1439
5,662
5,510
5,22
5,388
7,1123
5,893
7,1272
7,1943
5,279
5,397
5,553
7,1821
5,961
7,1754
5,262
7,1956
5,254
5,943
7,1292
5,381
5,290
5,235
5,400
7,1146
5,874
7,1844
7,1688
5,994
5,877
7,1567
5,113
5,989
5,892
7,1120
7,1132
7,1508
7,1549
5,455
5,624
7,1029
5,684
7,1154
5,985
7,1577
5,200
5,718
7,1423
7,1793
5,368
7,1657
5,829
5,878
5,640
7,1412
7,1329
5,969
7,1059
7,1625
5,499
5,587
5,819
5,393
7,1187
5,665
5,562
5,524
5,145
5,976
5,188
5,120
7,1034
5,245
5,121
7,1918
7,1142
7,1814
5,305
7,1713
5,776
7,1050
7,1574
5,825
7,1825
7,1179
5,321
5,897
7,1137
5,269
7,1284
5,733
7,1048
7,1594
5,375
7,1579
5,903
5,790
7,1534
5,286
7,1852
7,1882
5,5
5,801
7,1767
7,1751
5,203
5,30
5,728
7,1503
5,822
7,1013
7,1226
5,843
5,474
5,437
5,574
5,339
7,1851
7,1768
5,179
5,529
7,1702
5,169
7,1124
7,1280
7,1267
7,1828
5,652
5,717
7,1140
7,1689
5,464
7,1654
7,1138
7,1212
5,840
5,627
5,761
5,212
7,1451
5,352
5,320
7,1735
5,146
7,1094
7,1009
5,426
7,1634
7,1353
7,1341
5,26
7,1756
5,988
5,849
5,603
5,475
5,401
7,1973
7,1697
5,227
5,704
7,1379
7,1400
5,532
7,1087
7,1994
7,1683
5,845
7,1942
5,109
5,721
7,1434
7,1762
7,1936
5,46
7,1847
5,171
5,364
7,1679
5,112
7,1597
7,1249
5,719
7,1965
5,950
5,38
5,884
5,429
7,1897
7,1586
5,411
7,1981
5,930
7,1236
7,1802
7,1199
7,1139
7,1067
7,1167
5,675
7,1841
5,248
7,1433
7,1244
7,1719
7,1374
7,1678
5,71
7,1381
7,1251
5,215
5,473
5,28
7,1159
7,1560
7,1304
5,607
5,205
5,865
5,117
7,1919
7,1665
5,885
7,1628
5,334
5,763
7,1377
5,828
5,649
5,769
7,1568
5,925
5,182
5,322
7,1692
7,1348
7,1759
5,618
5,329
5,928
5,140
7,1566
5,667
7,1049
5,343
5,451
7,1675
5,802
7,1903
5,341
5,406
7,1495
5,312
7,1946
5,798
5,469
5,201
5,977
5,609
7,1584
7,1599
7,1968
7,1776
5,258
5,799
7,1003
7,1589
5,867
7,1867
7,1424
5,446
5,172
7,1481
7,1108
7,1401
7,1382
5,309
5,276
5,143
7,1478
7,1512
7,1613
7,1018
7,1770
7,1544
7,1730
7,1519
7,1527
7,1546
5,398
5,424
7,1479
7,1186
7,1303
7,1300
7,1482
7,1161
5,918
5,568
7,1299
5,92
5,27
7,1079
7,1430
5,525
5,569
7,1783
7,1731
5,442
7,1656
7,1909
5,136
7,1950
7,1917
7,1057
7,1636
5,456
7,1650
5,6
7,1041
5,951
7,1856
5,325
7,1180
5,862
5,808
7,1617
5,830
5,729
5,818
7,1791
7,1157
5,907
7,1912
5,731
5,253
7,1445
7,1711
5,791
5,88
7,1220
7,1788
5,600
7,1605
5,191
5,443
5,385
5,567
5,365
5,234
5,503
7,1989
5,803
5,280
7,1819
5,31
5,335
7,1775
7,1557
7,1396
7,1875
5,788
5,620
5,349
5,78
5,238
7,1645
5,101
7,1755
7,1414
5,764
5,513
7,1206
7,1803
7,1110
5,810
7,1871
5,758
7,1784
7,1402
7,1610
5,554
7,1930
7,1528
5,855
7,1832
5,946
7,1540
7,1640
7,1460
5,79
7,1937
5,872
5,730
7,1429
7,1102
5,148
7,1992
7,1940
7,1459
7,1740
5,871
7,1607
7,1038
5,674
5,578
7,1365
7,1752
5,927
7,1215
7,1561
7,1181
5,487
5,581
7,1366
5,889
5,217
5,236
5,44
5,541
7,1888
7,1083
7,1058
5,340
5,804
7,1673
7,1969
5,866
7,1835
7,1642
7,1970
7,1839
5,987
7,1107
5,58
5,488
5,566
7,1421
7,1570
5,934
5,96
7,1203
7,1257
7,1420
5,879
5,670
7,1501
7,1158
7,1750
5,701
5,308
7,1813
5,714
7,1386
5,579
7,1205
5,416
7,1797
7,1076
5,407
7,1734
7,1404
5,363
5,835
7,1809
5,540
5,635
5,197
5,247
5,153
7,1763
5,99
5,941
5,110
7,1332
7,1247
7,1535
7,1555
7,1987
7,1390
5,833
5,515
7,1426
7,1121
5,549
7,1347
7,1722
7,1635
5,18
5,13
5,422
7,1150
5,545
5,996
7,1542
5,500
7,1345
5,495
5,935
7,1054
7,1565
7,1496
7,1604
5,633
5,62
7,1872
7,1738
5,518
7,1363
5,10
5,155
5,725
5,70
5,237
5,646
5,863
5,141
7,1399
7,1197
5,783
5,50
5,685
7,1455
7,1349
7,1319
7,1938
7,2000
7,1471
7,1772
5,61
7,1494
7,1336
7,1367
5,911
5,939
5,189
5,501
7,1884
5,738
5,144
5,174
7,1894
5,815
7,1804
5,173
7,1031
7,1005
7,1001
5,528
7,1644
7,1777
5,504
7,1383
5,472
7,1271
5,402
5,313
7,1993
7,1326
7,1997
7,1949
5,299
5,454
7,1639
5,848
7,1632
7,1505
7,1572
5,656
5,962
5,202
7,1941
7,1562
7,1879
7,1265
7,1629
7,1201
5,736
7,1694
5,780
5,580
5,659
7,1360
5,813
5,419
7,1359
7,1707
7,1255
5,390
5,434
5,32
7,1659
5,682
5,428
7,1371
7,1131
5,386
7,1194
5,81
5,773
5,550
7,1672
7,1438
5,190
7,1795
7,1695
7,1376
7,1648
5,417
5,523
5,498
5,796
7,1355
7,1086
7,1466
7,1432
7,1686
7,1160
7,1779
7,1117
7,1671
7,1556
7,1898
5,377
5,771
7,1741
7,1492
5,837
5,853
7,1486
7,1075
5,781
7,1191
5,97
7,1016
5,875
7,1327
5,125
5,564
5,616
7,1351
7,1290
7,1068
5,294
7,1447
5,486
5,657
7,1914
7,1133
7,1320
7,1032
7,1836
5,116
5,445
7,1106
5,480
5,899
5,824
7,1933
7,1725
7,1552
7,1622
5,69
5,207
7,1808
5,423
7,1976
5,33
5,859
5,66
5,232
5,387
5,565
5,318
7,1900
5,944
7,1239
5,471
5,777
7,1090
5,869
7,1116
5,949
7,1928
5,47
5,8
5,457
5,261
7,1084
7,1484
7,1246
5,366
7,1262
5,713
5,273
7,1105
5,165
5,770
5,774
5,919
5,784
5,767
5,861
7,1760
5,369
5,838
5,588
7,1769
5,967
5,142
5,124
7,1109
5,131
7,1691
5,868
7,1500
7,1614
7,1456
5,447
5,7
5,522
5,811
5,45
7,1569
5,947
7,1145
5,119
7,1643
7,1493
5,851
7,1052
5,271
7,1947
7,1680
5,913
7,1046
5,187
7,1693
7,1554
5,421
5,239
5,905
7,1066
7,1286
5,337
5,307
7,1895
7,1441
5,415
7,1806
7,1122
5,127
5,230
7,1156
5,160
7,1733
7,1082
7,1273
7,1417
5,168
7,1221
5,507
5,448
7,1101
5,965
7,1125
7,1609
5,766
7,1241
5,932
7,1677
7,1870
7,1934
5,449
5,453
7,1868
7,1920
5,241
5,637
7,1655
7,1448
7,1575
5,629
5,954
5,243
7,1922
7,1807
5,737
5,536
5,24
7,1174
7,1193
7,1829
5,676
7,1865
5,915
5,483
5,786
5,535
5,14
7,1704
5,663
7,1547
5,288
5,379
5,196
7,1532
5,178
7,1488
7,1537
5,876
5,831
7,1516
5,360
5,396
7,1163
5,605
5,691
5,29
7,1321
5,527
5,940
7,1485
5,678
5,231
5,395
5,559
5,959
7,1522
7,1539
7,1724
7,1449
7,1384
5,931
5,583
5,687
5,220
7,1845
7,1164
7,1398
5,19
7,1328
5,593
7,1778
7,1015
5,814
7,1896
5,361
5,856
7,1927
5,77
7,1096
5,476
7,1790
5,184
5,122
7,1323
7,1765
7,1853
5,589
7,1907
7,1333
5,978
5,975
7,1338
5,834
7,1962
7,1128
5,11
7,1364
7,1352
5,968
5,677
5,847
5,206
5,108
5,477
7,1736
5,463
7,1088
7,1551
7,1443
5,491
7,1202
7,1578
5,224
7,1957
5,557
7,1152
5,556
7,1104
5,414
5,439
5,982
5,526
7,1344
5,906
5,710
7,1929
7,1387
7,1837
7,1637
5,300
7,1945
5,809
5,778
7,1899
7,1175
5,250
5,590
5,561
7,1148
5,715
5,983
7,1698
7,1002
7,1764
7,1525
7,1616
5,461
5,612
7,1509
5,572
5,505
5,394
7,1608
7,1250
7,1538
7,1318
7,1444
7,1385
5,726
7,1931
5,702
7,1092
5,942
5,355
7,1440
5,772
7,1706
5,980
7,1357
5,666
7,1149
5,425
7,1669
5,283
5,128
5,966
7,1253
7,1028
5,841
7,1606
7,1415
5,846
5,311
5,858
5,643
5,904
5,39
5,391
5,226
7,1737
7,1720
5,65
5,497
7,1395
5,303
5,779
7,1270
7,1497
7,1074
5,350
5,984
7,1465
5,106
5,467
7,1183
7,1185
7,1886
5,544
5,972
7,1990
5,55
7,1289
7,1410
5,631
7,1196
7,1630
5,225
7,1380
5,679
5,755
5,35
5,973
5,614
7,1153
7,1452
7,1004
7,1091
7,1044
7,1039
5,689
7,1216
5,613
7,1263
5,805
5,333
5,653
7,1256
7,1850
5,287
7,1902
7,1242
5,306
5,936
7,1866
5,971
5,683
7,1462
5,281
5,80
7,1533
5,83
7,1025
5,823
7,1043
7,1858
5,408
5,296
5,749
7,1143
7,1873
7,1952
5,807
7,1582
5,264
5,244
7,1252
7,1394
7,1277
5,573
7,1744
5,923
7,1033
7,1874
5,151
5,592
7,1134
5,743
5,399
7,1592
7,1168
5,105
5,821
5,93
7,1820
5,826
5,750
7,1862
5,542
5,275
5,883
5,221
5,17
7,1100
7,1892
5,964
7,1378
7,1340
7,1224
7,1014
5,577
7,1939
5,100
7,1834
7,1195
5,441
7,1944
7,1996
7,1036
5,806
5,185
5,48
7,1869
5,632
7,1022
5,957
7,1593
7,1021
5,327
7,1792
5,389
7,1602
7,1477
7,1184
5,671
7,1818
5,509
5,857
7,1261
5,787
7,1742
5,104
5,199
5,289
5,508
5,921
5,548
5,251
5,956
7,1984
7,1889
5,218
7,1887
7,1055
5,759
7,1558
5,268
5,817
5,708
7,1504
5,654
7,1983
5,641
7,1982
7,1243
5,697
5,418
7,1923
5,992
5,852
7,1876
5,324
5,123
7,1411
5,150
5,929
5,610
7,1824
7,1924
5,502
5,990
5,619
7,1315
5,594
7,1855
7,1285
7,1020
5,63
7,1999
7,1266
7,1974
7,1172
7,1571
5,432
7,1334
5,543
7,1182
7,1580
7,1314
5,94
5,167
5,59
5,85
7,1155
5,692
7,1799
7,1476
7,1279
7,1350
5,351
5,316
7,1190
7,1213
5,346
7,1313
7,1681
5,192
7,1093
7,1259
5,621
7,1281
7,1699
7,1831
7,1129
7,1301
5,403
5,514
7,1860
5,582
7,1063
5,709
5,462
7,1453
5,661
5,332
5,338
5,623
5,314
7,1062
7,1883
5,114
7,1030
5,887
5,265
7,1573
5,373
7,1204
7,1311
7,1716
7,1598
5,263
5,706
7,1060
7,1393
5,955
7,1796
7,1700
7,1316
5,650
5,257
7,1758
7,1985
7,1687
5,839
7,1576
5,842
7,1077
7,1921
7,1473
7,1469
7,1786
5,634
5,135
5,177
7,1890
5,266
7,1130
7,1646
5,958
5,756
7,1173
7,1960
5,740
7,1780
7,1012
7,1619
5,485
5,285
7,1623
5,412
5,249
5,460
7,1042
5,741
7,1998
5,357
7,1307
7,1435
7,1746
7,1458
5,323
5,615
5,595
7,1111
7,1127
5,133
7,1454
5,712
7,1368
5,655
7,1732
7,1397
7,1660
5,180
5,912
7,1461
5,354
5,926
5,152
7,1747
5,278
5,252
5,410
7,1006
7,1422
5,585
7,1254
5,440
7,1846
7,1442
5,534
7,1588
5,537
5,242
7,1151
7,1966
7,1061
7,1023
5,382
7,1507
5,54
5,233
5,512
5,571
7,1331
5,644
7,1901
5,752
7,1085
5,282
7,1176
5,158
7,1563
7,1840
5,762
5,760
5,922
7,1391
5,315
7,1240
5,67
7,1162
5,785
5,742
5,751
7,1322
7,1595
5,484
5,138
5,259
5,72
5,898
7,1601
7,1389
7,1245
7,1739
5,293
5,64
5,328
7,1392
7,1536
7,1864
7,1051
5,745
5,832
7,1306
7,1375
5,154
5,118
7,1908
7,1310
5,563
5,891
7,1978
7,1977
7,1782
7,1489
5,87
5,916
5,720
5,910
7,1413
5,342
5,873
7,1470
7,1235
5,914
5,628
5,606
7,1354
5,672
5,164
5,211
5,658
5,602
7,1118
5,370
7,1685
7,1234
5,882
5,162
5,870
7,1490
5,170
7,1641
5,547
7,1064
7,1633
5,753
7,1019
7,1418
7,1017
5,383
5,695
5,792
7,1833
5,901
7,1523
5,820
7,1822
5,895
5,754
7,1638
5,255
5,560
5,680
7,1343
7,1774
5,98
7,1600
7,1766
7,1948
5,586
5,392
7,1325
7,1543
5,75
5,519
5,970
7,1113
7,1670
5,816
7,1986
5,636
5,647
5,86
7,1815
5,409
7,1621
7,1955
5,413
5,601
5,76
5,938
7,1590
7,1467
5,130
5,277
7,1662
5,374
7,1294
5,981
7,1425
5,952
7,1403
7,1596
7,1701
5,359
7,1317
7,1667
5,694
7,1119
5,722
5,91
5,274
5,681
7,1550
7,1506
7,1192
7,1581
5,213
7,1287
7,1346
7,1502
5,494
5,707
7,1967
7,1615
5,732
7,1988
7,1531
5,520
5,765
5,793
7,1302
5,90
5,963
7,1789
5,800
5,42
7,1135
7,1963
7,1611
7,1040
7,1115
7,1078
7,1953
5,139
5,739
7,1073
5,176
7,1369
7,1361
5,384
5,854
7,1169
5,493
5,723
7,1260
5,4
5,880
5,597
5,295
7,1472
5,496
7,1178
7,1056
7,1295
5,34
7,1098
7,1223
7,1024
7,1854
7,1714
5,228
5,129
5,937
7,1276
7,1626
7,1309
5,860
5,489
